,text,Country,sentiment,Collected at
0,@marinamaral2 Sexy!🤣🤣🤣,Switzerland,0.0,2021-01-06 23:58:44
1,"@JoeBiden No, sadly it’s not. But you now have a choice between getting a little better or even worse.",Switzerland,0.040625,2021-01-06 23:54:55
2,@AntonyPuertoNY The big problem..he is married,Switzerland,0.125,2021-01-06 23:52:00
3,"Howdi Partner 🤠😄
-
#bulletjournal #bujo #zeichnen #drawing
-
#meinblog #blog #blogger #photography #photographer… https://t.co/O2kE8mYs3a",Switzerland,0.0,2021-01-06 23:50:37
4,@jeffersonjones0 @RyanLeStrange May God reveal what is really going on. Still wouldn’t be surprised if Antifa were… https://t.co/ADd6uzD6tT,Switzerland,0.15000000000000002,2021-01-06 23:50:14
5,@Pajero_Zarpado They are making a sequel 🥰🥰🥰,Switzerland,0.0,2021-01-06 23:50:11
6,Go for it! #25thAmendmentNow https://t.co/KcCSk8Xeni,Switzerland,0.0,2021-01-06 23:49:10
7,"I am just so deeply shocked about what is and was happening in Washington, it's really hard to believe...",Switzerland,-0.4958333333333334,2021-01-06 23:48:26
8,@JudithFreedman Indeed. That's evil and sick.,Switzerland,-0.8571428571428572,2021-01-06 23:48:11
9,We all appreciate that fact 🥺 It's hard to put the whole team above yourself but our leader has been doing that for… https://t.co/FZPORTfD4y,Switzerland,-0.03055555555555556,2021-01-06 23:47:00
10,@scythez American Horror Story,Switzerland,0.0,2021-01-06 23:46:01
11,"Mr President, 🇺🇸he who sows the wind shall inevitably reap the whirlwind.",Switzerland,0.0,2021-01-06 23:44:56
12,"If the #CapitolBuilding takeover were a scene from elsewhere, US media would have used very different terms to desc… https://t.co/qaXl1i3g4d",Switzerland,0.0,2021-01-06 23:44:46
13,@ed_hagen @SpeciesTypical @kristensyme I wonder if these evolutionary explanations of suicide could in themselves p… https://t.co/YxB61AsBDs,Switzerland,0.0,2021-01-06 23:43:15
14,I was under the impression 2020 ended.,Switzerland,0.0,2021-01-06 23:42:03
15,@johniadarola @YouTube @AnaKasparian Look at the guy right next to the woman who was shot. He has an assault rifle!… https://t.co/mFFByfMKwd,Switzerland,0.14285714285714285,2021-01-06 23:41:23
